curso,escola,grau,duracao_anos,ects,regime,local,area,estado,observacoes,saidas_profissionais,descricao,resumo,interesses_relacionados,palavras_chave,fonte
Agronomia,ESA,Licenciatura,3,180,Diurno,Ponte de Lima,Ciências Agrárias,Disponível,,produção agrícola; gestão agrícola; consultoria; sustentabilidade,"Curso focado na produção agrícola, gestão de explorações, sustentabilidade e inovação rural.",Formação na área agrícola e ambiental com aplicação prática ao setor agroalimentar.,agricultura; ambiente; produção; sustentabilidade; natureza,agronomia; agricultura; ambiente; produção,Brochura-Licenciaturas-ESA.pdf
Biotecnologia,ESA,Licenciatura,3,180,Diurno,Ponte de Lima,Ciências Biológicas,Disponível,,laboratórios; indústria alimentar; investigação; controlo de qualidade,"Curso orientado para a aplicação de processos biológicos e tecnológicos em saúde, ambiente e indústria.","Formação interdisciplinar entre biologia, tecnologia e laboratório.",biologia; laboratório; ciência; tecnologia; investigação,biotecnologia; laboratório; biologia; ciência,Brochura-Licenciaturas-ESA.pdf
Enfermagem Veterinária,ESA,Licenciatura,3,180,Diurno,Ponte de Lima,Saúde Animal,Disponível,,apoio clínico veterinário; hospitais veterinários; clínicas veterinárias; bem-estar animal,"Curso focado nos cuidados de saúde animal, apoio clínico e acompanhamento veterinário.",Formação orientada para trabalho com animais e apoio em contexto clínico veterinário.,animais; veterinária; saúde animal; cuidados; clínica,enfermagem veterinária; animais; veterinária; saúde,Brochura-Licenciaturas-ESA.pdf
Engenharia do Ambiente e Geoinformática,ESA,Licenciatura,3,180,Diurno,Ponte de Lima,Ambiente e Geotecnologias,Disponível,,gestão ambiental; geoinformação; SIG; planeamento territorial,"Curso que combina ambiente, geotecnologias, sistemas de informação geográfica e sustentabilidade.","Formação ligada ao ambiente, análise espacial e planeamento do território.",ambiente; mapas; território; SIG; sustentabilidade,ambiente; geoinformática; SIG; território,Brochura-Licenciaturas-ESA.pdf
Artes e Cinema Digital,ESE,Licenciatura,3,180,Diurno,Viana do Castelo,Artes,Disponível,,produção audiovisual; cinema digital; multimédia; criação artística,"Curso orientado para criação audiovisual, cinema digital, imagem e narrativa visual.","Formação artística e técnica em cinema, vídeo e produção digital.",cinema; vídeo; audiovisual; imagem; arte,artes; cinema digital; audiovisual; multimédia,Brochura-Licenciaturas-ESE.pdf
Artes Plásticas e Tecnologias Artísticas,ESE,Licenciatura,3,180,Diurno,Viana do Castelo,Artes,Disponível,,produção artística; artes visuais; projetos criativos; media art,"Curso focado em criação artística, artes plásticas, expressão visual e tecnologias aplicadas à arte.",Formação em artes visuais com ligação a meios tecnológicos e criação contemporânea.,arte; desenho; criatividade; imagem; tecnologia,artes plásticas; tecnologias artísticas; criação,Brochura-Licenciaturas-ESE.pdf
Educação Básica,ESE,Licenciatura,3,180,Diurno,Viana do Castelo,Educação,Disponível,,educação; intervenção educativa; apoio socioeducativo,"Curso orientado para a educação, formação de crianças e intervenção em contextos educativos.",Formação base para trabalho na área educativa e possível continuação de estudos em ensino.,educação; crianças; ensino; formação,educação básica; ensino; intervenção educativa,Brochura-Licenciaturas-ESE.pdf
Educação Social Gerontológica,ESE,Licenciatura,3,180,Diurno,Viana do Castelo,Intervenção Social,Disponível,,intervenção social; apoio a idosos; instituições sociais; envelhecimento ativo,Curso focado na intervenção social com população idosa e promoção do envelhecimento ativo.,Formação na área social e educativa com atenção especial à população sénior.,idosos; apoio social; envelhecimento; intervenção; comunidade,educação social gerontológica; idosos; intervenção social,Brochura-Licenciaturas-ESE.pdf
Gerontologia,ESE,Licenciatura,3,180,Diurno,Viana do Castelo,Saúde e Envelhecimento,Disponível,,apoio a idosos; instituições geriátricas; envelhecimento ativo; intervenção gerontológica,"Curso orientado para o estudo do envelhecimento, qualidade de vida e intervenção com população sénior.",Formação centrada no envelhecimento humano e apoio à população idosa.,idosos; envelhecimento; saúde; apoio; gerontologia,gerontologia; envelhecimento; idosos; saúde,Brochura-Licenciaturas-ESE.pdf
Design de Ambientes,ESTG,Licenciatura,3,180,Diurno,Viana do Castelo,Design,Disponível,,design de interiores; ambientes; espaços comerciais; projetos criativos,Curso focado na conceção e organização de espaços interiores e ambientes funcionais.,"Formação em design aplicada a espaços, ambiente construído e experiência do utilizador.",design; interiores; espaços; criatividade; ambientes,design de ambientes; interiores; espaços,Brochura-Licenciaturas-ESTG.pdf
Design do Produto,ESTG,Licenciatura,3,180,Diurno,Viana do Castelo,Design,Disponível,,design de produto; desenvolvimento de objetos; inovação; prototipagem,"Curso orientado para criação, desenvolvimento e melhoria de produtos com foco funcional e estético.",Formação em design aplicada ao desenvolvimento de objetos e soluções inovadoras.,design; produto; criatividade; protótipos; inovação,design do produto; produto; prototipagem,Brochura-Licenciaturas-ESTG.pdf
Engenharia Alimentar,ESTG,Licenciatura,3,180,Diurno,Viana do Castelo,Engenharia Alimentar,Disponível,,indústria alimentar; controlo de qualidade; produção alimentar; segurança alimentar,"Curso focado em processos industriais alimentares, qualidade, segurança e inovação no setor alimentar.",Formação em engenharia aplicada à produção e transformação alimentar.,alimentação; indústria; qualidade; produção; segurança alimentar,engenharia alimentar; indústria alimentar; segurança alimentar,Brochura-Licenciaturas-ESTG.pdf
Engenharia Civil e do Ambiente,ESTG,Licenciatura,3,180,Diurno,Viana do Castelo,Engenharia,Disponível,,construção; fiscalização; ambiente; gestão de obras,"Curso na área da construção civil, ambiente, planeamento e gestão de obras.","Formação em engenharia ligada à construção, infraestruturas e ambiente.",construção; obras; ambiente; infraestruturas,engenharia civil; ambiente; obras; construção,Brochura-Licenciaturas-ESTG.pdf
Engenharia da Computação Gráfica e Multimédia,ESTG,Licenciatura,3,180,Diurno,Viana do Castelo,Informática e Multimédia,Disponível,,multimédia; computação gráfica; videojogos; animação; desenvolvimento digital,"Curso focado em computação gráfica, multimédia, imagem digital, animação e conteúdos interativos.","Formação técnica e criativa na interseção entre informática, imagem e multimédia.",computadores; imagem; multimédia; animação; videojogos,computação gráfica; multimédia; animação; imagem digital,Brochura-Licenciaturas-ESTG.pdf
Engenharia de Redes e Sistemas de Computadores,ESTG,Licenciatura,3,180,Diurno,Viana do Castelo,Informática,Disponível,,administração de redes; cibersegurança; infraestruturas; sistemas,"Curso focado em redes informáticas, sistemas, administração de infraestruturas e segurança.","Formação orientada para redes, sistemas e infraestruturas tecnológicas.",computadores; redes; sistemas; cibersegurança; servidores,redes; sistemas; cibersegurança; computadores,Brochura-Licenciaturas-ESTG.pdf
Engenharia Informática,ESTG,Licenciatura,3,180,Diurno,Viana do Castelo,Informática,Disponível,,desenvolvimento de software; bases de dados; redes; sistemas de informação; programação,"Curso focado em programação, desenvolvimento de software, bases de dados, redes e sistemas informáticos.",Formação na área da informática com forte componente técnica e prática.,computadores; programação; software; tecnologia; inteligência artificial,informática; programação; software; computadores; redes,Brochura-Licenciaturas-ESTG.pdf
Engenharia Mecânica,ESTG,Licenciatura,3,180,Diurno,Viana do Castelo,Engenharia,Disponível,,projeto mecânico; produção industrial; manutenção; automação,"Curso orientado para o projeto, fabrico, manutenção e inovação de sistemas mecânicos.",Formação em engenharia aplicada à indústria e aos sistemas mecânicos.,mecânica; máquinas; indústria; produção; manutenção,engenharia mecânica; produção; manutenção; máquinas,Brochura-Licenciaturas-ESTG.pdf
Engenharia Mecatrónica,ESTG,Licenciatura,3,180,Diurno,Viana do Castelo,Engenharia,Disponível,,automação; robótica; controlo industrial; manutenção,"Curso que combina mecânica, eletrónica, controlo e automação industrial.","Formação multidisciplinar orientada para automação, robótica e sistemas inteligentes.",robótica; automação; eletrónica; controlo; indústria,mecatrónica; robótica; automação; eletrónica,Brochura-Licenciaturas-ESTG.pdf
Gastronomia e Artes Culinárias,ESTG,Licenciatura,3,180,Diurno,Viana do Castelo,Gastronomia,Disponível,,restauração; cozinha profissional; inovação gastronómica; gestão culinária,"Curso focado em gastronomia, técnicas culinárias, inovação e criação na área alimentar.",Formação prática e criativa para o setor da restauração e gastronomia.,cozinha; gastronomia; restauração; criatividade; alimentação,gastronomia; artes culinárias; cozinha; restauração,Brochura-Licenciaturas-ESTG.pdf
